cost,loss,epsilon,ROC,Sens,Spec,ROCSD,SensSD,SpecSD,model
1e-4,L2_primal,0.01,0.3923630952380952,0.7162857142857143,0.264,0.1732388292481247,0.26159822823883233,0.2877910247474397,L2_Logistic_Regression
0.001,L2_primal,0.01,0.3923630952380952,0.7162857142857143,0.264,0.1732388292481247,0.26159822823883233,0.2877910247474397,L2_Logistic_Regression
0.0025,L2_primal,0.01,0.39319642857142856,0.712452380952381,0.264,0.17295523285015799,0.2655261725187987,0.2877910247474397,L2_Logistic_Regression
0.005,L2_primal,0.01,0.39506309523809524,0.7117380952380953,0.26875,0.17274843371208512,0.2657132983125741,0.28644676960061655,L2_Logistic_Regression
0.01,L2_primal,0.01,0.39563095238095236,0.7068571428571429,0.26975,0.1723244609103396,0.2654978315429233,0.2865546385244092,L2_Logistic_Regression
0.05,L2_primal,0.01,0.403581746031746,0.6749285714285714,0.29533333333333334,0.17117033782204386,0.26114225948018055,0.28553514364777666,L2_Logistic_Regression
0.1,L2_primal,0.01,0.41128611111111113,0.6452142857142857,0.33741666666666664,0.17351046774318826,0.2554364505794801,0.293101864952126,L2_Logistic_Regression
0.25,L2_primal,0.01,0.4266988095238095,0.5875714285714285,0.39716666666666667,0.17448974088318425,0.24730214687695842,0.2852561124549463,L2_Logistic_Regression
0.5,L2_primal,0.01,0.43371706349206346,0.5441428571428572,0.42991666666666667,0.1743359887612778,0.2346769262681134,0.28267139891664694,L2_Logistic_Regression
1,L2_primal,0.01,0.4425452380952381,0.5293095238095238,0.44666666666666666,0.17383713695412306,0.22345111261992345,0.2793467693246245,L2_Logistic_Regression
10,L2_primal,0.01,0.43976031746031746,0.5340714285714285,0.43616666666666665,0.17485263781143195,0.21783746447607072,0.23103141879676262,L2_Logistic_Regression
1e-6,L2_primal,0.01,0.618352380952381,0.8150714285714286,0.3765,0.16278979359259188,0.23650956911941934,0.2645972361453682,L2_Logistic_Regression
1e-5,L2_primal,0.01,0.618352380952381,0.8150714285714286,0.3765,0.16278979359259188,0.23650956911941934,0.2645972361453682,L2_Logistic_Regression
1e-4,L2_primal,0.01,0.618352380952381,0.8150714285714286,0.3765,0.16278979359259188,0.23650956911941934,0.2645972361453682,L2_Logistic_Regression
0.001,L2_primal,0.01,0.618352380952381,0.8150714285714286,0.3765,0.16278979359259188,0.23650956911941934,0.2645972361453682,L2_Logistic_Regression
0.0025,L2_primal,0.01,0.618602380952381,0.8142380952380952,0.379,0.16272267502653662,0.23732730429669807,0.2633813538897026,L2_Logistic_Regression
0.005,L2_primal,0.01,0.6184392857142857,0.8116904761904762,0.382,0.16193887952250502,0.2362405858410515,0.2601504954643381,L2_Logistic_Regression
0.01,L2_primal,0.01,0.6198261904761905,0.8114523809523809,0.38775,0.16115871141582336,0.23182413680632621,0.25657450922257047,L2_Logistic_Regression
0.05,L2_primal,0.01,0.6252115079365079,0.7879761904761905,0.4145,0.1597118368038012,0.22916685701225536,0.245673392879108,L2_Logistic_Regression
0.1,L2_primal,0.01,0.6293920634920634,0.7692142857142857,0.4548333333333333,0.16079438021041043,0.22754709730373845,0.2355695072404007,L2_Logistic_Regression
0.25,L2_primal,0.01,0.6405222222222222,0.7203333333333334,0.5110833333333333,0.15795872429935295,0.22058601764996513,0.22999088115829447,L2_Logistic_Regression
0.5,L2_primal,0.01,0.6493285714285715,0.6821190476190476,0.5435833333333333,0.15909492681836748,0.21176416365378678,0.231294499393024,L2_Logistic_Regression
1,L2_primal,0.01,0.6570376984126984,0.6400476190476191,0.5896666666666667,0.15400301208488482,0.19178551543287453,0.23114890383775052,L2_Logistic_Regression
10,L2_primal,0.01,0.6678190476190476,0.5891190476190477,0.6700833333333334,0.15129896378964902,0.17907769186080588,0.23343080938342858,L2_Logistic_Regression
1e-6,L2_primal,0.01,0.44328055555555557,0.6656904761904762,0.353,0.19573407791436476,0.29383346848628406,0.3440803536708316,L2_Logistic_Regression
