cost,loss,epsilon,ROC,Sens,Spec,ROCSD,SensSD,SpecSD,model
0.01,L2_primal,0.01,0.6138410714285715,0.5673333333333334,0.6518809523809523,0.14253432120884743,0.2671103929696187,0.17691439691738922,L2_Logistic_Regression
0.05,L2_primal,0.01,0.6218222222222222,0.5836666666666667,0.6410297619047619,0.14350418585514754,0.24395517249381699,0.1652463529011464,L2_Logistic_Regression
0.1,L2_primal,0.01,0.6267155753968254,0.5954166666666667,0.6354880952380952,0.14015514535115217,0.23356615269096406,0.1561222079654495,L2_Logistic_Regression
0.25,L2_primal,0.01,0.6504248015873015,0.6226666666666667,0.6171904761904762,0.13349627621124524,0.23461028902492656,0.14550321402476665,L2_Logistic_Regression
0.5,L2_primal,0.01,0.668337996031746,0.643,0.6035,0.1309067519953069,0.22643771075269523,0.1447150089812769,L2_Logistic_Regression
1,L2_primal,0.01,0.6760786706349207,0.6495,0.5875059523809524,0.13243042588168177,0.22534736508896766,0.1479596452400079,L2_Logistic_Regression
10,L2_primal,0.01,0.6923848214285714,0.686,0.5678035714285714,0.12793068562541213,0.22562921511534767,0.1580894366742397,L2_Logistic_Regression
1e-6,L2_primal,0.01,0.5502812499999999,0.333,0.7492321428571429,0.15898394318996087,0.24537008136402325,0.16588808578283937,L2_Logistic_Regression
1e-5,L2_primal,0.01,0.5502812499999999,0.333,0.7492321428571429,0.15898394318996087,0.24537008136402325,0.16588808578283937,L2_Logistic_Regression
1e-4,L2_primal,0.01,0.5502812499999999,0.333,0.7492321428571429,0.15898394318996087,0.24537008136402325,0.16588808578283937,L2_Logistic_Regression
0.001,L2_primal,0.01,0.5502812499999999,0.334,0.7492321428571429,0.15898394318996087,0.24605111297334453,0.16588808578283937,L2_Logistic_Regression
0.0025,L2_primal,0.01,0.5512668650793651,0.33625,0.7476845238095238,0.15924559344337577,0.24945746547225975,0.1671737575777228,L2_Logistic_Regression
0.005,L2_primal,0.01,0.5514728174603175,0.33875,0.7437083333333333,0.15811695650818874,0.25108884880539106,0.16959375336237223,L2_Logistic_Regression
0.01,L2_primal,0.01,0.5533394841269841,0.346,0.7375178571428571,0.15634863560596254,0.25589225992179576,0.17246692629165236,L2_Logistic_Regression
0.05,L2_primal,0.01,0.5664308531746032,0.3725,0.7011369047619047,0.15819215610134643,0.26313485088209754,0.1778340161295254,L2_Logistic_Regression
0.1,L2_primal,0.01,0.5742612103174604,0.39375,0.6861071428571428,0.1570077331605833,0.26419202225486593,0.1796502908496358,L2_Logistic_Regression
0.25,L2_primal,0.01,0.5876675595238096,0.46391666666666664,0.6461309523809524,0.15543359079319116,0.27166472700235506,0.18199477430959748,L2_Logistic_Regression
0.5,L2_primal,0.01,0.5997377976190477,0.49725,0.624470238095238,0.15373804127255272,0.2687044080502575,0.18155180944798935,L2_Logistic_Regression
1,L2_primal,0.01,0.6069116071428572,0.5295,0.6103452380952381,0.1519567017984075,0.26099340992127346,0.18944227611209732,L2_Logistic_Regression
10,L2_primal,0.01,0.615829365079365,0.5594166666666667,0.5803630952380953,0.14711469674857502,0.24366099357063295,0.1902061976424834,L2_Logistic_Regression
1e-6,L2_primal,0.01,0.7714493055555556,0.5960833333333333,0.7999107142857143,0.10162945375472254,0.29241279295749667,0.18135993548707757,L2_Logistic_Regression
1e-5,L2_primal,0.01,0.7714493055555556,0.5960833333333333,0.7999107142857143,0.10162945375472254,0.29241279295749667,0.18135993548707757,L2_Logistic_Regression
1e-4,L2_primal,0.01,0.7714493055555556,0.5960833333333333,0.7999107142857143,0.10162945375472254,0.29241279295749667,0.18135993548707757,L2_Logistic_Regression
0.001,L2_primal,0.01,0.7715921626984127,0.5960833333333333,0.7999107142857143,0.10148795200599801,0.29241279295749667,0.18135993548707757,L2_Logistic_Regression
0.0025,L2_primal,0.01,0.7727429563492063,0.5985833333333334,0.7972440476190477,0.10091022821671755,0.2926504227929898,0.18047472478886684,L2_Logistic_Regression
0.005,L2_primal,0.01,0.7738024801587302,0.5993333333333334,0.798672619047619,0.10058996156112808,0.2864852762569212,0.17824845873098907,L2_Logistic_Regression
0.01,L2_primal,0.01,0.7750643849206349,0.6056666666666667,0.7992678571428571,0.10021976729554981,0.2856684736343641,0.17779586215361456,L2_Logistic_Regression
