row,column,cor,p
Otu01091,Otu01218,1,0
Otu01100,Otu01218,1,0
Otu01155,Otu01218,1,0
Otu00285,Otu01219,1,0
Otu00431,Otu01219,1,0
Otu01183,Otu01219,1,0
Otu00359,Otu01223,1,0
Otu00425,Otu01223,1,0
Otu00705,Otu01223,1,0
Otu00960,Otu01223,1,0
Otu01060,Otu01223,1,0
Otu01111,Otu01223,1,0
Otu00423,Otu01225,1,0
Otu00755,Otu01225,1,0
Otu00926,Otu01225,1,0
Otu01141,Otu01225,1,0
Otu00716,Otu01232,1,0
Otu00804,Otu01232,1,0
Otu00881,Otu01232,1,0
Otu01094,Otu01232,1,0
Otu00716,Otu01236,1,0
Otu00804,Otu01236,1,0
Otu00881,Otu01236,1,0
Otu01094,Otu01236,1,0
Otu01232,Otu01236,1,0
Otu00525,Otu01239,1,0
Otu00546,Otu01239,1,0
Otu00551,Otu01239,1,0
Otu00950,Otu01239,1,0
Otu01024,Otu01239,1,0
Otu00366,Otu01245,1,0
Otu00476,Otu01245,1,0
Otu00521,Otu01245,1,0
Otu00531,Otu01245,1,0
Otu00588,Otu01245,1,0
Otu00617,Otu01245,1,0
Otu00777,Otu01245,1,0
Otu00783,Otu01245,1,0
Otu00886,Otu01245,1,0
Otu00957,Otu01245,1,0
Otu01086,Otu01245,1,0
Otu01098,Otu01245,1,0
Otu01160,Otu01245,1,0
Otu01180,Otu01245,1,0
Otu00520,Otu01248,1,0
Otu00533,Otu01248,1,0
Otu00658,Otu01248,1,0
Otu00841,Otu01248,1,0
Otu01161,Otu01248,1,0
Otu00598,Otu01252,1,0
Otu00678,Otu01252,1,0
Otu00770,Otu01252,1,0
Otu01099,Otu01252,1,0
Otu01132,Otu01252,1,0
Otu01079,Otu01259,1,0
Otu00236,Otu01260,1,0
Otu00637,Otu01260,1,0
Otu00679,Otu01260,1,0
Otu00733,Otu01260,1,0
Otu00749,Otu01260,1,0
Otu00780,Otu01260,1,0
Otu00816,Otu01260,1,0
Otu00883,Otu01260,1,0
Otu01002,Otu01260,1,0
Otu01210,Otu01260,1,0
Otu01175,Otu01263,1,0
Otu00423,Otu01265,1,0
Otu00755,Otu01265,1,0
Otu00926,Otu01265,1,0
Otu01141,Otu01265,1,0
Otu01225,Otu01265,1,0
Otu00964,Otu01266,1,0
Otu00525,Otu01267,1,0
Otu00546,Otu01267,1,0
Otu00551,Otu01267,1,0
Otu00950,Otu01267,1,0
Otu01024,Otu01267,1,0
Otu01239,Otu01267,1,0
Otu00552,Otu01271,1,0
Otu01107,Otu01271,1,0
Otu01121,Otu01271,1,0
Otu00368,Otu01273,1,0
Otu00400,Otu01273,1,0
Otu00560,Otu01273,1,0
Otu00807,Otu01273,1,0
